courseCode,courseName,department,semester,credits,teacherEmail
CS101,Data Structures,Computer Science,3,4,b@b.com
CS102,Algorithms,Computer Science,3,4,b@b.com
CS201,Operating Systems,Computer Science,4,4,c@c.com
CS202,Software Engineering,Computer Science,4,3,b@b.com
CS301,Database Management Systems,Computer Science,5,3,b@b.com
CS302,Computer Networks,Computer Science,5,3,c@c.com
CS401,Machine Learning,Computer Science,7,4,b@b.com
MA101,Calculus I,Mathematics,1,4,b@b.com
MA102,Linear Algebra,Mathematics,2,4,c@c.com
MA201,Probability and Statistics,Mathematics,3,4,c@c.com
